Name,Rating,Address,"Latitude, Longitude",Station,Budget
,,,,,
Club Sirkus,3.9,"3VV3+XJG, Hotel Sahara Star Service Road Chhatrapati Shivaji International Airport Area, Vile Parle East, Mumbai, Maharashtra 400099","19.095139808616675, 72.85407050673778",vileparle,800
Mansion at Sahara Star,4.1,"Ground Floor, Sahara Star Hotel, Nehru Rd, opposite Terminal 1, Vile Parle East, Mumbai, Maharashtra 400099","19.09575228478734, 72.85347670673973",vileparle,800
Casa De Betee,5,"Universal Paradise, Nariman Cross Road, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400057","19.095136731603755, 72.8501244067379",vileparle,800
Travel Club,4.3,"3VWF+QH2, Chhatrapati Shivaji International Airport Area, Vile Parle, Mumbai, Maharashtra 400099","19.098279636672096, 72.87404434657127",vileparle,800
Travel Club Lounge,3.8,"3VR4+W3C, Navpada, Vile Parle East, Santacruz East, Mumbai, Maharashtra 400099","19.092481557347256, 72.85512283557341",vileparle,800
Dragonfly Experience Mumbai,4.3,"4V2H+V5X, The Orb, Next to J.W, Marriott Sahar, Andheri (E, Maharashtra 400088","19.102407885064654, 72.8779873932444",vileparle,800
Trioz The Lounge,4.1,"406, Swami Vivekananda Rd, Above Domino's Pizza, Navpada, Kamala Nagar, Vile Parle West, Mumbai, Maharashtra 400056","19.10044223998949, 72.83934020858999",vileparle,800
REEHAB,4.7,"4R3J+9PQ, Woodlands Garden Cafe, Next to Archana Kochaar Showroom & Kalaneketan V M Road, Juhu, Vile Parle West, Mumbai, Maharashtra 400049","19.10670312492613, 72.83246311457891",vileparle,800
Kitty Su Mumbai,4.1,"Ground Floor The LaLit Mumbai, Airport Rd, Navpada, Marol, Andheri East, Mumbai, Maharashtra 400059","19.105479757445682, 72.87574909324151",vileparle,800
Swigs Bar,3.8,"Parle International, BN, Agarwal Market, Vile Parle East, Mumbai, Maharashtra 400057","19.101415405595585, 72.84513302208028",vileparle,800
The Merlin's Karaoke Bar - The Orchid,4.4,"The Orchid, 70C, Nehru Rd, Vile Parle East, Mumbai, Maharashtra 400057","19.097558213691094, 72.85482827974856",vileparle,800
Beryl Club,4.2,"Lobby B-Wing, Hotel Kohinoor Continental, Andheri - Kurla Rd, J B Nagar, Andheri East, Mumbai, Maharashtra 400059","19.112412761684197, 72.86795589324653",andheri,800
Six Degrees - The Bar,4.2,"Sahar Airport Rd, Mariyyman Nagar, Greater Indra Nagar, Andheri East, Mumbai, Maharashtra 400059","19.109755027433103, 72.87409679324195",andheri,800
ARK 2.0,4.3,"C.T.S, 215, Andheri - Kurla Rd, Andheri East, Mumbai, Maharashtra 400093","19.11398028436859, 72.86393670672979",andheri,800
ROYAL DINING BAR,4,"318 / 41, Andheri - Kurla Rd Nehru Nagar, Andheri - Kurla Rd, Nehru Nagar, Kadam Wadi, Bhim Nagar, Andheri East, Mumbai, Maharashtra 400059","19.111233825248355, 72.8703996644005",andheri,800
Rodeo Drive,4.1,"HOTEL, Peninsula redpine, Andheri East, Mumbai, Maharashtra 400059","19.10987384360399, 72.87592522500236",andheri,800
Amethhyyst Lounge Bar,4.1,"B-37 3rd Floor, Veera Desai Industrial Estate Rd, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053","19.13932408011544, 72.83348009324439",andheri,800
Deepa Orchestra Bar,4.5,"BAJSONS IND ESTATE, Chakala Rd, near Hotel Samraj Building, Kajuwadi, Chakala, Andheri East, Mumbai, Maharashtra 400099","19.110800013364276, 72.8589214527646",andheri,800
Barrel And Co,4.2,"2, New Link Rd, Industrial Area, Andheri West, Mumbai, Maharashtra 400047","19.13496116881662, 72.83238740673055",andheri,800
LFL Lounge & Bar,4.3,"Shop No:1, New Link Rd, above Shobha Restaurant, next to Star Bazar, Kasam Nagar, Suresh Nagar, Andheri West, W, Mumbai, Maharashtra 400053","19.131536152921857, 72.8311942067322",andheri,800
Tipsy Monkee Upttown 59,3.7,"Between Craftbar 2.0 & Elegance Lodging, 181 / 182, near Chakala Metro Station, Shaheed Bhagat Singh Society, S B Singh Colony, J B Nagar, Andheri East, Mumbai, Maharashtra 400059","19.111831987139173, 72.86571922207811",andheri,800
Bombar,4,"14th floor 1st avenue, Above Mercedes showroom , opp to inorbit mall, Goregaon West, Mumbai, Maharashtra 400104","19.173890073446696, 72.83895979138964",goregoan,800
Eighteen Lounge and Bar,4.2,"International Business Park, Yashodham, Goregaon, Mumbai, Maharashtra 400063","19.172658076218955, 72.8604590932401",goregoan,800
Phelia Lounge,4.4,"7th Floor, First Avenue, Opp Inorbit Mall, Goregaon - Mulund Link Rd, Mumbai, Maharashtra 400064","19.173929973395815, 72.83899287789893",goregoan,800
Whats'up Lounge Bar,3.7,"Sadhguru Industrial Estate, Jai Coach Signal, Geetanjali Railway Colony, Ram Nagar, Goregaon, Mumbai, Maharashtra 400063","19.145134508787457, 72.85490556440524",goregoan,800
BOHO - Bar and Kitchen,4.2,"3rd Floor, DLH Park, Swami Vivekananda Rd, Sunder Nagar, Goregaon West, Mumbai, Maharashtra 400064","19.174507705399968, 72.84465277789694",goregoan,800
WAVES Bar & Restaurant,3.9,"Shivaji Nagar, Gokuldham Colony, Goregaon, Mumbai, Maharashtra 400063","19.175693472645218, 72.86940363557147",goregoan,800
Minakshi bar,3.5,"Peru Baug, Jay Prakash Nagar, Goregaon, Mumbai, Maharashtra 400063","19.166377085107587, 72.85438733556926",goregoan,800
Drop,4.1,"No.G1/B, Krystal Building, Below Hakkasan, Waterfield Road, Bandra West, Mumbai, Maharashtra 400050","19.060799971543673, 72.83451500673037",bandra,800
Escobar,4.2,"4th VN Sphere Mall, 199, Linking Rd, Bandra West, Mumbai, Maharashtra 400050","19.060256472167993, 72.83628579323842",bandra,800
The Council,4.6,"Sahjivan Building, St Theresa Rd, above Starbucks Coffee, Khar West, Mumbai, Maharashtra 400052","19.065751925470835, 72.83317171837528",bandra,800
C'est La Vie Mumbai,3.8,"164,Hill Road ,(Next to Holy Family Hospital, Hill Rd, Bandra West, Mumbai, Maharashtra 400050","19.05517171425709, 72.82825423557065",bandra,800
Throb Club,4.2,"3RCP+7XF, Swami Vivekananda Rd, Khar, Ram Krishna Nagar, Khar West, Mumbai, Maharashtra 400052","19.070874059828924, 72.8374255067351",bandra,800
Monkey Bar,4.2,"14th & 33rd Linking Road, Bandra West, Mumbai, Maharashtra 400050","19.06582368661874, 72.83224157604675",bandra,800
Bonobo,4.3,"2nd floor, Kenilworth Plaza, Off Linking Rd, Phase II, Bandra West, Mumbai, Maharashtra 400050","19.06575532702928, 72.8340702932393",bandra,800
TAP Resto Bar,4.1,"3rd Floor, Link Square Mall, Linking Rd, opp. KFC, Bandra West, Mumbai, Maharashtra 400050","19.065243722654227, 72.83369360673457",bandra,800
House Of Pandora HOP,4.7,"1st Road, &, Swami Vivekananda Rd, Junction, Mumbai, Maharashtra 400052","19.071496379185877, 72.83766987789903",bandra,800
The Orange Mint Lounge - Bandra,4.1,"Kenilworth Plaza, 2nd, Building, Linking Rd, above KFC, Bandra West, Mumbai, Maharashtra 400050","19.065765467327953, 72.83407029323291",bandra,800
